drug_name,CID,ex_drug_id
65666-07-1,5213,986
Tariquidar,148201,987
CHEMBL3348853,73259,988
NCGC00346589-01,45042199,989
Isoevodiamine,151289,990
SCHEMBL12880048,12150530,991
homoharringtonine,285033,992
Sophocarpine,115269,993
SecinH3,1029232,994
CDIBA,11271909,995
NCGC00025091-04,57519541,996
PF-8380,25265312,997
NCGC00263226-01,135972801,998
anagrelide,135409400,999
Olprinone,4593,1000
cilostazol,2754,1001
pimobendan,4823,1002
milrinone,4197,1003
NCGC00168459-01,42647289,1004
CHEMBL1221434,46933992,1005
CHEMBL431383,44315352,1006
Lirimilast,6433118,1007
rolipram,5092,1008
Cilomilast,151170,1009
(R)-(-)-Rolipram,448055,1010
Roflumilast,449193,1011
luteolin,5280445,1012
GSK256066,9827968,1013
906673-24-3,44591583,1014
1155877-97-6,57703712,1015
sildenafil,135398744,1016
Tadalafil,110635,1017
dipyridamole,3108,1018
Parogrelil,9803788,1019
CHEMBL3348997,73265335,1020
Vardenafil,135400189,1021
papaverine,4680,1022
PF-2545920,11581936,1023
theobromine,5429,1024
alacepril,71992,1025
PERINDOPRIL,107807,1026
649756-01-4,16219326,1027
temocapril hydrochloride,443873,1028
benazepril,5362124,1029
NCGC00178127-04,11963697,1030
Bestatin,72172,1031
zafirlukast,5717,1032
Pranlukast,4887,1033
